name,artist,album,spotify_id,duration_ms
BLACKOUT,Turnstile,GLOW ON,0bGImSqDB2ebdeoCidUC8o,173279
Rhinoceros - Remastered 2011,The Smashing Pumpkins,Gish (Deluxe Edition),1nT1WwzjraW3Iu8Pa8wXEi,390306
Diamond,All Them Witches,ATW,1zAx94fNMR725rsFiHPG7z,369533
BUNKER/PREROLL,mynameisntjmack,BUNKER/PREROLL,7guB5aqvr0dOEvqPtqESKF,120000
Coded Theory,Break Science,Coded Theory,4G7vrxdiPyifqe8kLgb4hw,233600
Everyday People (Remix with B-Real & G.Love),Slightly Stoopid,Everyday People (Remix with B-Real & G. Love),6pReUhCfnH5qxdjsG6vlig,225080
India,BoomBox,Visions of Backbeat,386CJPc8jgJMRlzhKfWlFO,340826
Jungle Lullaby,C.W. Stoneking,Pickathon Music Festival 2009,1GsLD6W59Bc7oZ2HhAi1de,294813
SpottieOttieDopaliscious,Outkast,Big Boi & Dre Present...OutKast,4tmL5YG6fEjPJTtD6TkG5C,357933
Bium Bium Bambalo,Hilmar Örn Hilmarsson,Angels of the Universe,7pGVbY61BTBOVV0zmYNoMO,413453
Stereo,BoomBox,Visions of Backbeat,6X4f2HyaLrwTVi5juD27jY,346000
Midnight on the Run,BoomBox,Visions of Backbeat,5cio8CvmB7nBA1OxiSYqrg,599200
Aquemini,Outkast,Aquemini,4V3N5LvUOh3yDPP16cwAhE,319240
West Savannah,Outkast,Aquemini,5yTQ7Vy6EwKwB64Vho90LI,246280
"Wharf Rat - Live at Fillmore East, New York, NY, April 26, 1971",Grateful Dead,Grateful Dead (Skull & Roses) [Live],0JKWRYAxDyWqS14WmtLFOf,511306
Taking In The Son - Feat. Avion Blackman,Christafari,No Compromise,5pamdkM0Dw0Rm5W2vKWjXZ,330893
You And Me,SOJA,Born In Babylon,7ukWTNljvU6pmPkuWN1ZBX,310160
Moon Socket,STS9,Interplanetary Escape Vehicle,1thQ2svfZnEbf6txlOSKgJ,605106
Hubble,STS9,Interplanetary Escape Vehicle,4kOR9DXTbqVOgImMmnQgwS,430186
Wika Chikana,STS9,Interplanetary Escape Vehicle,6nE5L2wz5nApkTCy4cscGE,776053
H.B. Walks To School,STS9,Interplanetary Escape Vehicle,0jWdQmNqrkuCNl7QTYs74K,360320
Four Year Puma,STS9,Interplanetary Escape Vehicle,3bZ1bl6ajJ4LEnv374vlwG,399186
Tap-In,STS9,Interplanetary Escape Vehicle,4hu8xysNkvKeiWodhKWTdo,164666
Quests,STS9,Interplanetary Escape Vehicle,15aAXHM0vAi4rxqOLoryi0,335640
Evasive Maneuvers,STS9,Interplanetary Escape Vehicle,716qWtMCEm2gPOXFCrkToP,349560
The Mood,Kid Cudi,Man On The Moon II: The Legend Of Mr. Rager,4yCuBvbBvoJ9eVE7QB2Rkg,155693
"Romeo and Juliet Op.64, No.7 - The Prince Gives His Order",Sergei Prokofiev,150 Classical Masterpieces,2nKWvMB3Qm3yZzKaC6258T,165066
Carmen - Habanera,Georges Bizet,150 Classical Masterpieces,4mxwON8I3HNewaLqbVZcFe,131706
Under My Voodoo,Sublime,Sublime (Deluxe Edition),5DcFyX2TbVoVEFGb3tsYt7,205813
Get Ready,Sublime,Sublime (Deluxe Edition),60k29vAmsk7XmPG5pSs7VF,291253
Pawn Shop,Sublime,Sublime (Deluxe Edition),0yhvwYw9KeWrq8nRjtTjNH,366013
Wrong Way,Sublime,Sublime (Deluxe Edition),6tsz56C0DbkDHXHn3PbEnI,136293
Garden Grove,Sublime,Sublime (Deluxe Edition),57Wy35qgvnoydFtN3jWaJU,261026
Black-Throated Wind,Bob Weir,Ace,7zzbfi8fvHe6hm342GcNYl,342826
A New Way To Say Hooray!,Shpongle,Tales of the Inexpressible,1PMIoBJ52Ii6uRmvKeHVCY,512106
Duppy Conqueror,"Lee ""Scratch"" Perry","Bob Marley vs. Lee ""Scratch"" Perry: The Best of the Upsetter Years 1970-1971",4RnzY0j5GsanHKPXAiY2eY,223608
Timshel,Mumford & Sons,Sigh No More,3bFaKHJjs2evbfarwWQfHy,173413
China Cat Sunflower - Live in Paris 1972 Version,Grateful Dead,Europe '72 [Live] [Expanded],3K80eTMvPE8oG1aWXi4gDA,332960
I Know You Rider - Live in Paris 1972 Remastered Version,Grateful Dead,Europe '72 [Live] [Expanded],6H4PWMMFBTnqqOGGEtwAom,303440
Up On Cripple Creek - Remastered 2000,The Band,The Band (Expanded Edition),60VcYHxoyOdZyFb1EaKJdN,274893
Que Sera,Wax Tailor,Tales Of The Forgotten Melodies,7z2q0GHHCdrCJk2Kp6jinL,164093
Helicon 2,Mogwai,Ten Rapid,5nzEN4tWmNRtXoKszGffAD,158333
Dixie Chicken,Little Feat,Dixie Chicken,0eTHlx53lUn95HVsJtR6Qx,239106
Road,Nick Drake,Pink Moon,5USDPjFjBLfYF2G8UCbRpp,119680
Free Ride,Nick Drake,Pink Moon,0OsiXfbG1wYhJYVutbfPpr,183840
Stuck In A Moment You Can't Get Out Of,U2,The Best Of 1990-2000,7vhlFuHKwUHFxk0vFOiKWd,271106
Town To Town,G. Love & Special Sauce,G. Love And Special Sauce,14S0T7YGqn75gjNrBrHDCZ,204573
Sun Is Shining,Bob Marley & The Wailers,Kaya,0cZol3idOPBt73oq2461i7,297560
Garbage Man,G. Love & Special Sauce,G. Love And Special Sauce,0wSL3Kd615yX7nifGHpYUI,290160
Time Will Tell,Bob Marley & The Wailers,Kaya,4gTZR7DMx5orVEhxLKIH1F,209373
Hrafnagaldur - Odin's Raven Magic,Steindór Anderson & Sigur Rós,Screaming Masterpiece,2B1IxHMc2xoXx6xDVcbVI8,611000
