name,artist,album,spotify_id,duration_ms,explicit,uri,primary_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Gus Fring Interviews You For A Job At Los Pollos Hermanos Pt.1,Jojo's ASMR,Gus Fring Interviews You For A Job At Los Pollos Hermanos,2tmhdGyEElN8QO6QIzznSw,234341,False,spotify:track:2tmhdGyEElN8QO6QIzznSw,Unknown,0.495,0.199,2,-38.188,1,0.757,0.121,0,0.61,0.271,85.331,5
Gus Fring Interviews You For A Job At Los Pollos Hermanos Pt.2,Jojo's ASMR,Gus Fring Interviews You For A Job At Los Pollos Hermanos,6LmNTC0Lopxl1b7MFBScld,236020,False,spotify:track:6LmNTC0Lopxl1b7MFBScld,Unknown,0.584,0.158,8,-38.65,1,0.565,0.107,0,0.31,0.207,138.158,4
Gus Fring Interviews You For A Job At Los Pollos Hermanos Pt.3,Jojo's ASMR,Gus Fring Interviews You For A Job At Los Pollos Hermanos,2eDyIqPHBl43Jz3soQg8A7,236778,False,spotify:track:2eDyIqPHBl43Jz3soQg8A7,Unknown,0.589,0.0682,8,-39.553,1,0.431,0.0563,0,0.353,0.193,88.408,4
IMMA SHIT MY PANTS,Binky the Slinky,IMMA SHIT MY PANTS,0f6ZKHEGATENHv7wdQaRA4,92375,True,spotify:track:0f6ZKHEGATENHv7wdQaRA4,Unknown,0.85,0.524,1,-9.386,1,0.322,0.00758,0,0.15,0.664,105.098,4
You Reposted in the Wrong Neighborhood I Glue70 Mashup,Shokk,You Reposted in the Wrong Neighborhood I Glue70 Mashup,0hSzixwdKTfDQewDKq2cP5,196642,True,spotify:track:0hSzixwdKTfDQewDKq2cP5,Unknown,0.805,0.643,10,-13.912,1,0.232,0.41,0,0.606,0.927,104.047,4
Cheesecake,Billy Marchiafava,Cheesecake,0z0L6jhaKy3op9d41M55aD,96000,True,spotify:track:0z0L6jhaKy3op9d41M55aD,Unknown,0.844,0.581,1,-7.204,1,0.0688,0.0182,0.000496,0.0909,0.375,160.121,4
In Da Club,50 Cent,Get Rich Or Die Tryin',4RY96Asd9IefaL3X4LOLZ8,193466,True,spotify:track:4RY96Asd9IefaL3X4LOLZ8,Unknown,0.902,0.72,6,-2.776,0,0.347,0.26,0,0.0749,0.805,90.059,4
on & on,piri,on & on,2fmtrXfvbN8xkHwE0zgTTc,135013,False,spotify:track:2fmtrXfvbN8xkHwE0zgTTc,Unknown,0.609,0.765,4,-7.65,0,0.0633,0.149,0.017,0.0815,0.819,173.993,4
Flexicution,Logic,Bobby Tarantino,2c8sgbZoEanC3QyFNZxUcA,218946,True,spotify:track:2c8sgbZoEanC3QyFNZxUcA,Unknown,0.782,0.713,0,-6.576,0,0.0899,0.0619,0.00125,0.108,0.68,159.839,4
We Did It!!!,grandson,Death Of An Optimist,6nebUmkUoc7fITIKPjS47K,168736,True,spotify:track:6nebUmkUoc7fITIKPjS47K,Unknown,0.284,0.789,1,-7.927,1,0.473,0.000328,0.00109,0.562,0.597,169.2,4
Like A G6,Far East Movement,Free Wired,4DvhkX2ic4zWkQeWMwQ2qf,216893,False,spotify:track:4DvhkX2ic4zWkQeWMwQ2qf,Unknown,0.435,0.837,3,-8.126,1,0.449,0.00676,0,0.117,0.778,124.913,4
You Make Me Feel... (feat. Sabi),Cobra Starship,Night Shades,16Of7eeW44kt0a1M0nitHM,215693,False,spotify:track:16Of7eeW44kt0a1M0nitHM,Unknown,0.668,0.857,7,-2.944,0,0.0535,0.0191,6.71e-06,0.0385,0.748,131.959,4
Kermit,Day by Dave,Kermit,77EM9jnZUvPdPeLrAA1eOt,100500,False,spotify:track:77EM9jnZUvPdPeLrAA1eOt,Unknown,0.824,0.676,6,-5.342,1,0.0892,0.725,0,0.125,0.808,120.113,4
Bulls On Parade,Rage Against The Machine,Evil Empire,0tZ3mElWcr74OOhKEiNz1x,229466,True,spotify:track:0tZ3mElWcr74OOhKEiNz1x,Unknown,0.412,0.919,5,-7.291,1,0.184,0.0124,0.0601,0.424,0.572,166.367,4
Anime Tiddies,Big Gay,BlueBooth,1V5NeterwmOXoHiDurxb5Z,185782,True,spotify:track:1V5NeterwmOXoHiDurxb5Z,Unknown,0.85,0.367,6,-11.015,1,0.533,0.694,0,0.116,0.645,82.922,4
Elephant Parade,Relient K,Air for Free,22BtHBCuFuAPPmcpKyQ5Gp,230773,False,spotify:track:22BtHBCuFuAPPmcpKyQ5Gp,Unknown,0.34,0.818,8,-6.315,1,0.0967,0.0992,0,0.256,0.451,130.089,4
Turn Down for What,DJ Snake,Turn Down for What,67awxiNHNyjMXhVgsHuIrs,213733,False,spotify:track:67awxiNHNyjMXhVgsHuIrs,Unknown,0.818,0.799,1,-4.1,0,0.156,0.00107,0.128,0.057,0.0815,100.014,4
