name,artist,album,spotify_id,duration_ms,explicit,uri,primary_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
"Main Title / Trinity Infinity - From ""The Matrix""",Don Davis,The Matrix (Original Motion Picture Score),26Df4BnnrJkCADpEZnbJWI,234893,False,spotify:track:26Df4BnnrJkCADpEZnbJWI,Unknown,0.158,0.481,4,-18.014,0,0.0775,0.218,0.0532,0.171,0.0393,135.744,4
Unable To Speak,Don Davis,The Matrix (Original Motion Picture Score),6QUY1VC64xmnp75SzEg4sv,75000,False,spotify:track:6QUY1VC64xmnp75SzEg4sv,Unknown,0.177,0.693,8,-16.454,1,0.0914,0.74,0.897,0.158,0.0742,84.672,4
The Power Plant,Don Davis,The Matrix (Original Motion Picture Score),01oSbRQaQNsRn8Iuz1EiPL,161800,False,spotify:track:01oSbRQaQNsRn8Iuz1EiPL,Unknown,0.201,0.632,0,-12.665,0,0.0894,0.836,0.527,0.139,0.0361,116.939,3
Welcome To The Real World,Don Davis,The Matrix (Original Motion Picture Score),1XB0VLmuZAxPsKdj8YKyqi,148040,False,spotify:track:1XB0VLmuZAxPsKdj8YKyqi,Unknown,0.138,0.0155,0,-31.069,0,0.0379,0.221,0.471,0.0804,0.0383,141.907,3
The Hotel Ambush,Don Davis,The Matrix (Original Motion Picture Score),0U2Si4YMLzhPjExIPjbIQc,323066,False,spotify:track:0U2Si4YMLzhPjExIPjbIQc,Unknown,0.231,0.292,9,-17.553,0,0.0627,0.247,0.465,0.0608,0.0374,139.617,4
Exit Mr. Hat,Don Davis,The Matrix (Original Motion Picture Score),4ZWh9psJEKjz7JtvA018aO,83133,False,spotify:track:4ZWh9psJEKjz7JtvA018aO,Unknown,0.149,0.395,11,-16.271,0,0.047,0.283,0.834,0.0803,0.033,147.601,5
A Virus,Don Davis,The Matrix (Original Motion Picture Score),6BazW4BNeTlulNDreAQ8qc,93000,False,spotify:track:6BazW4BNeTlulNDreAQ8qc,Unknown,0.174,0.0762,10,-25.626,0,0.0497,0.0552,0.862,0.106,0.044,122.204,4
Bullet-Time,Don Davis,The Matrix (Original Motion Picture Score),6ltuIXIH3o62rS6eMvXyoj,70560,False,spotify:track:6ltuIXIH3o62rS6eMvXyoj,Unknown,0.255,0.582,4,-13.905,0,0.0572,0.852,0.88,0.103,0.0373,73.091,4
Ontological Shock,Don Davis,The Matrix (Original Motion Picture Score),0AzOMwKZvLsWoV3ULCuBS3,212866,False,spotify:track:0AzOMwKZvLsWoV3ULCuBS3,Unknown,0.183,0.53,7,-13.107,0,0.0502,0.73,0.63,0.118,0.0541,67.038,4
Anything Is Possible,Don Davis,The Matrix (Original Motion Picture Score),74ntovDJaebpb9ESgDbgx5,408773,False,spotify:track:74ntovDJaebpb9ESgDbgx5,Unknown,0.172,0.235,2,-17.925,0,0.0549,0.798,0.888,0.0569,0.0346,118.744,4
Main Title,Don Davis,The Matrix Reloaded: The Album,5bMqn1tyjMu3LjbiTJ0OPv,90066,False,spotify:track:5bMqn1tyjMu3LjbiTJ0OPv,Unknown,0.187,0.726,6,-13.486,0,0.088,0.881,0.75,0.14,0.0383,134.643,1
Trinity Dream,Don Davis,The Matrix Reloaded: The Album,44kWJ4bOWd9dwjjSsHO4pN,116800,False,spotify:track:44kWJ4bOWd9dwjjSsHO4pN,Unknown,0.201,0.785,0,-9.483,0,0.137,0.739,0.957,0.282,0.0391,75.194,4
Teahouse,Juno Reactor,The Matrix Reloaded: The Album,7eHcn5NjSm5BlrM7HQKfAN,64599,False,spotify:track:7eHcn5NjSm5BlrM7HQKfAN,Unknown,0.594,0.973,10,-10.897,0,0.085,0.877,0.823,0.139,0.257,160.593,5
Chateau,Rob Dougan,The Matrix Reloaded: The Album,1viZxeZ8VGndv574m0f4QD,203826,False,spotify:track:1viZxeZ8VGndv574m0f4QD,Unknown,0.536,0.933,10,-5.51,0,0.0567,8.34e-05,0.892,0.166,0.444,128.99,4
Mona Lisa Overdrive,Juno Reactor,The Matrix Reloaded: The Album,6m7mgnkUOpQGzvaqdIeyye,608933,False,spotify:track:6m7mgnkUOpQGzvaqdIeyye,Unknown,0.522,0.771,10,-8.986,0,0.0679,0.039,0.83,0.103,0.189,136.971,4
Burly Brawl,Juno Reactor,The Matrix Reloaded: The Album,7HvvaUdnIMLjeLr9b9OtYn,352133,False,spotify:track:7HvvaUdnIMLjeLr9b9OtYn,Unknown,0.274,0.931,4,-5.97,0,0.161,0.0616,0.891,0.397,0.0793,100.013,4
"""Matrix Reloaded"" Suite",Don Davis,The Matrix Reloaded: The Album,5ZBtnQRSJsd8ezRtA1CKlK,1055000,False,spotify:track:5ZBtnQRSJsd8ezRtA1CKlK,Unknown,0.0726,0.343,2,-11.926,0,0.0469,0.879,0.905,0.158,0.0349,70.403,3
