name,artist,album,spotify_id,duration_ms
40oz. To Freedom,Sublime,Sublime Greatest Hits,2UopfMQqP0mBTuzFyTZzLF,182960
Wrong Way,Sublime,Sublime Greatest Hits,6uUqBB6wXrcIJWssTRfIYE,136360
What I Got,Sublime,Sublime Greatest Hits,1bPVqdrdNhrZC51rdwxZwk,172053
Smoke Two Joints,Sublime,Sublime Greatest Hits,0FdTBwYr1aNF1smfqaoCde,173360
Wanna Be Loved,Buju Banton,'Til Shiloh,6SZX0yPduHGIyvLZY5p23C,243866
Bowl For Two,The Expendables,Gettin' Filthy,260F1LrhRMiuXOZIaypMZd,283426
Collie Man,Slightly Stoopid,Everything You Need,3Zjdqz7eOox8XU0zTCPL4P,133080
Float On,Modest Mouse,Good News For People Who Love Bad News,2lwwrWVKdf3LR9lbbhnr6R,208466
First Day Of My Life,Bright Eyes,"I'm Wide Awake, It's Morning",5OiaAaIMYlCZONyDBxqk4G,188800
Where Is My Mind?,Pixies,Surfer Rosa (Remastered),6mcxQ1Y3uQRU0IHsvdNLH1,236973
Ben Franklin's Song,The Decemberists,Ben Franklin's Song,0UFSglFdQwaZiPKcRIs2mT,223175
Come Around,Collie Buddz,Collie Buddz,1a64u7QtJ9yDwpNyfDrZTj,221506
The General,DISPATCH,Bang Bang,6n6EXIwLtNwe4u4CFzENYm,246920
Bang Bang,DISPATCH,Bang Bang,2yGoiZes2YcueNA4nGDmdS,267746
Mountain Climbing,Joe Bonamassa,Blues Of Desperation,3QdefKbNfifFnCwlpLtQcG,343906
Burn One Down,Ben Harper,Fight For Your Mind,2QzMJkYUhThZxM94ahgOzN,211626
"April 29, 1992 (Miami)",Sublime,20th Century Masters: The Millennium Collection: Best Of Sublime,4aiGuq8owmdrU9WKZNVfCe,233666
War Pigs,CAKE,b-sides and rarities,5Cg6S5BXG6lXqjijSK9zFh,234013
Officer,Slightly Stoopid,Everything You Need,28OkLLntKaxV9Fxk79sQkD,231733
Lay Me Down,Dirty Heads,Any Port In A Storm (Special Edition),4duRCqphyoANSfH8oUl6c2,217520
Stone Love,Pepper,Kona Town,1AO26gK1sI6PoFY9eUF8yV,254800
She's Still Loving Me,Morgan Heritage,Three In One,0cPDcjcb0msiFZG9KylxzR,267733
Still Blazing,Alborosie,Soul Pirate,3sbBOn0ifcgoX3MfaTeFKr,230573
Too Old to Die Young,Brother Dege,Folk Songs of the American Longhair,3B9CVXsyyFRVQwCPYbhS9m,224053
Holiday,Collie Buddz,Holiday - Single,1Xi1s3LM6xOAOH9LNOGhFz,235389
Barton Hollow,The Civil Wars,Barton Hollow,2ZheGCM31EbCwUfGs0WJB1,205773
Coming Back,Mitch King,A Life Under the Sun,44JR07Sv6wY3Xz2xPzYBdw,308386
Badfish,Sublime,Jah Won't Pay The Bills,4paJ10JPNCyOaLtz2cY928,188085
Rolling Stoned,Upchurch,Bad Mutha Fucka,28B02YJaBMp2byqoM9H92n,218333
Take It or Leave It,Sublime With Rome,Yours Truly (Deluxe Edition),0qdnPX9umHlQBQuv2sYZlo,232813
Bartender Song (Sittin' At A Bar) - Alt/Rock Mix,Rehab,Graffiti The World,1gewemPOUilb21s7CfMS55,229040
Welcome Home,Rehab,Welcome Home,5Gk8T7WVhO6qrIekedwaEW,231213
Don't Push,Sublime,40oz. To Freedom,4FlWVsDRnYa28oJSAApL4t,259093
Rx (Medicate),Theory of a Deadman,Wake Up Call,2UZtI2HUyLRzqBjodvcUmY,233173
