name,artist,album,spotify_id,duration_ms,explicit,uri,primary_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Lose Yourself,Saliva,Lose Yourself,1agG3Jk8tLM0igL8lEAJBs,264011,False,spotify:track:1agG3Jk8tLM0igL8lEAJBs,Unknown,0.437,0.911,7,-5.524,1,0.0825,0.00023,2.13e-06,0.239,0.568,172.046,4
With Any Sort of Certainty,Streetlight Manifesto,The Hands That Thieve,1BvxAu9idgTJ4WSzn7dF2e,370546,False,spotify:track:1BvxAu9idgTJ4WSzn7dF2e,Unknown,0.487,0.924,9,-4.892,0,0.0671,0.0124,0,0.113,0.709,144.896,4
Miracle,A Day To Remember,Miracle,2ah5gOCogw00A62XBoepmc,243977,True,spotify:track:2ah5gOCogw00A62XBoepmc,Unknown,0.463,0.917,7,-3.776,1,0.13,0.000266,1.8e-05,0.0872,0.369,160.028,4
The Hands That Thieve,Streetlight Manifesto,The Hands That Thieve,0m0DAL7AJc6oo74D1OtaVJ,340186,False,spotify:track:0m0DAL7AJc6oo74D1OtaVJ,Unknown,0.342,0.858,7,-4.627,1,0.0811,0.00262,0,0.212,0.566,144.058,4
GOSSIP (feat. Tom Morello),Måneskin,GOSSIP (feat. Tom Morello),4GvPlSOKfN7aXEuGW8zKUx,168280,True,spotify:track:4GvPlSOKfN7aXEuGW8zKUx,Unknown,0.706,0.821,9,-2.974,1,0.0617,0.00164,0,0.0981,0.918,139.914,4
GASOLINE,Måneskin,RUSH!,5jWcNM7uHhsAj9yuypurdP,221062,False,spotify:track:5jWcNM7uHhsAj9yuypurdP,Unknown,0.568,0.691,5,-3.744,0,0.0632,0.000204,0.0464,0.109,0.337,128.044,4
Tongue Tied,Earl,Tongue Tied,65sB3j3xKDwIhQCKpULSDC,186293,False,spotify:track:65sB3j3xKDwIhQCKpULSDC,Unknown,0.823,0.721,1,-6.011,1,0.102,0.112,3.49e-05,0.144,0.797,107.377,4
Tobacco Island,Flogging Molly,Within a Mile of Home,7cv7U6KO9uSCCw5JE7GEMS,317906,False,spotify:track:7cv7U6KO9uSCCw5JE7GEMS,Unknown,0.463,0.955,1,-4.172,1,0.0526,0.0052,0.0169,0.111,0.888,148.041,4
Godzilla (feat. Juice WRLD),Eminem,Music To Be Murdered By,7FIWs0pqAYbP91WWM0vlTQ,210800,True,spotify:track:7FIWs0pqAYbP91WWM0vlTQ,Unknown,0.808,0.745,10,-5.26,0,0.342,0.145,0,0.292,0.829,165.995,4
Surface Pressure,Our Last Night,Surface Pressure,0DduieNHAJnGOTVxytEUAB,197666,False,spotify:track:0DduieNHAJnGOTVxytEUAB,Unknown,0.395,0.934,4,-5.06,0,0.191,6.2e-05,0,0.107,0.4,179.959,4
