user_id,id,name,artist,album,release_date,popularity,duration_ms,explicit,uri,album_genre,artist_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,track_href,analysis_url,time_signature,primary_genre
clayton,7jlBmG4G5dR5BQ6GCiKHbK,heads up!,Dee TDL,heads up!,2023-04-03,8,190171,True,spotify:track:7jlBmG4G5dR5BQ6GCiKHbK,Unknown,Unknown,0.844,0.374,11.0,-12.878,0.0,0.513,0.426,0.0,0.231,0.436,142.1,audio_features,https://api.spotify.com/v1/tracks/7jlBmG4G5dR5BQ6GCiKHbK,https://api.spotify.com/v1/audio-analysis/7jlBmG4G5dR5BQ6GCiKHbK,4.0,
clayton,3StynR2ePajcGXa9Npf19K,Teeth,Shlohmo,Shlomoshun Deluxe,2010-01-12,0,294987,False,spotify:track:3StynR2ePajcGXa9Npf19K,Unknown,downtempo,0.482,0.92,4.0,-1.417,0.0,0.504,0.0202,0.0531,0.173,0.35,75.206,audio_features,https://api.spotify.com/v1/tracks/3StynR2ePajcGXa9Npf19K,https://api.spotify.com/v1/audio-analysis/3StynR2ePajcGXa9Npf19K,4.0,
clayton,2DSIadh6CVBzQoRZ9VzKVL,Secrets,Billy Strings,Renewal,2021-09-24,47,283307,False,spotify:track:2DSIadh6CVBzQoRZ9VzKVL,Unknown,jam band,0.565,0.716,4.0,-6.841,0.0,0.0322,0.362,0.000107,0.327,0.425,132.847,audio_features,https://api.spotify.com/v1/tracks/2DSIadh6CVBzQoRZ9VzKVL,https://api.spotify.com/v1/audio-analysis/2DSIadh6CVBzQoRZ9VzKVL,4.0,
clayton,2McT9smAArZgp6jKdLnL0X,Mexico,CAKE,Prolonging the Magic,1998-02-05,47,206400,False,spotify:track:2McT9smAArZgp6jKdLnL0X,Unknown,alternative rock,0.597,0.429,0.0,-9.916,1.0,0.0306,0.229,0.0279,0.0807,0.465,149.164,audio_features,https://api.spotify.com/v1/tracks/2McT9smAArZgp6jKdLnL0X,https://api.spotify.com/v1/audio-analysis/2McT9smAArZgp6jKdLnL0X,3.0,
clayton,4L8U7El87Y75WTGot943ar,"Little Red Rooster - Live at JFK Stadium, Philadelphia, PA, July 7, 1989",Grateful Dead,"Crimson, White & Indigo: July 7 1989, JFK Stadium, Philadelphia (Live)",2010-04-16,20,572360,True,spotify:track:4L8U7El87Y75WTGot943ar,Unknown,cosmic american,0.351,0.679,2.0,-9.198,1.0,0.0525,0.686,0.108,0.521,0.574,112.13,audio_features,https://api.spotify.com/v1/tracks/4L8U7El87Y75WTGot943ar,https://api.spotify.com/v1/audio-analysis/4L8U7El87Y75WTGot943ar,3.0,
clayton,4FEGZ7qZSLfGyd4orz15gW,Liminal Reality,parkbreezy,Liminal Reality,2021-06-29,41,204878,False,spotify:track:4FEGZ7qZSLfGyd4orz15gW,Unknown,downtempo bass,0.699,0.446,4.0,-10.404,0.0,0.0514,0.395,0.787,0.1,0.351,164.016,audio_features,https://api.spotify.com/v1/tracks/4FEGZ7qZSLfGyd4orz15gW,https://api.spotify.com/v1/audio-analysis/4FEGZ7qZSLfGyd4orz15gW,4.0,
clayton,7qRgiAifNvBXltnJn3Uvse,Goin' Where The Monon Crosses The Yellow Dog,Scrapper Blackwell,Mr. Scrapper's Blues,2001-01-01,32,285627,False,spotify:track:7qRgiAifNvBXltnJn3Uvse,Unknown,chicago blues,0.608,0.468,6.0,-8.118,1.0,0.04,0.749,0.00659,0.101,0.715,125.49,audio_features,https://api.spotify.com/v1/tracks/7qRgiAifNvBXltnJn3Uvse,https://api.spotify.com/v1/audio-analysis/7qRgiAifNvBXltnJn3Uvse,4.0,
clayton,0ZMI0JL8jU98SxGb27gkaR,American tterroristt,RXKNephew,Crack Therapy 3,2020-12-22,39,584046,True,spotify:track:0ZMI0JL8jU98SxGb27gkaR,Unknown,Unknown,0.583,0.549,2.0,-10.857,1.0,0.416,0.0352,0.0,0.137,0.427,98.364,audio_features,https://api.spotify.com/v1/tracks/0ZMI0JL8jU98SxGb27gkaR,https://api.spotify.com/v1/audio-analysis/0ZMI0JL8jU98SxGb27gkaR,3.0,
clayton,1kUowdKaXBRhdB0lINmIHC,Trip Around Saturn,Little Stranger,Trip Around Saturn,2021-11-05,46,176889,False,spotify:track:1kUowdKaXBRhdB0lINmIHC,Unknown,reggae rock,0.728,0.653,2.0,-5.074,1.0,0.0642,0.0289,5.98e-05,0.105,0.254,72.894,audio_features,https://api.spotify.com/v1/tracks/1kUowdKaXBRhdB0lINmIHC,https://api.spotify.com/v1/audio-analysis/1kUowdKaXBRhdB0lINmIHC,4.0,
clayton,1gDZSRi2t7ceUDjTb45zaq,Nostalgic,Ill Conscious,Sorcery,2018-10-10,36,177772,True,spotify:track:1gDZSRi2t7ceUDjTb45zaq,Unknown,boom bap,0.68,0.834,4.0,-5.853,0.0,0.302,0.169,0.0,0.143,0.676,176.793,audio_features,https://api.spotify.com/v1/tracks/1gDZSRi2t7ceUDjTb45zaq,https://api.spotify.com/v1/audio-analysis/1gDZSRi2t7ceUDjTb45zaq,4.0,
clayton,7f8dNc5pNiwCZIX6A7uYKB,Clear Blue Skies,Juggaknots,Re:Release,1996-09-21,42,235293,True,spotify:track:7f8dNc5pNiwCZIX6A7uYKB,Unknown,jazz rap,0.63,0.478,6.0,-11.111,1.0,0.0564,0.23,0.0178,0.17,0.393,81.677,audio_features,https://api.spotify.com/v1/tracks/7f8dNc5pNiwCZIX6A7uYKB,https://api.spotify.com/v1/audio-analysis/7f8dNc5pNiwCZIX6A7uYKB,4.0,
clayton,5HtziFfFGxXpugCqZaAHoY,Both Eyes Closed (feat. 2 Chainz and Young Dolph),Gucci Mane,Droptopwop,2017-05-26,56,260009,True,spotify:track:5HtziFfFGxXpugCqZaAHoY,Unknown,atl hip hop,0.704,0.558,1.0,-6.042,1.0,0.287,0.379,0.000111,0.407,0.414,163.964,audio_features,https://api.spotify.com/v1/tracks/5HtziFfFGxXpugCqZaAHoY,https://api.spotify.com/v1/audio-analysis/5HtziFfFGxXpugCqZaAHoY,4.0,
clayton,6uu1E0SqqBueSMvEYurgI1,Parking Lot Pimpin',Forever Golden,Gold,2018-12-08,29,192000,True,spotify:track:6uu1E0SqqBueSMvEYurgI1,Unknown,indie hip hop,0.919,0.461,8.0,-10.129,0.0,0.124,0.0551,0.0316,0.0929,0.169,105.032,audio_features,https://api.spotify.com/v1/tracks/6uu1E0SqqBueSMvEYurgI1,https://api.spotify.com/v1/audio-analysis/6uu1E0SqqBueSMvEYurgI1,4.0,
clayton,5dMHeQAGLqNBNv6zegpmZy,Tracphone,Latrell James,Tracphone,2019-03-28,36,193289,True,spotify:track:5dMHeQAGLqNBNv6zegpmZy,Unknown,boston hip hop,0.786,0.548,2.0,-8.507,1.0,0.458,0.789,1.78e-05,0.11,0.419,149.068,audio_features,https://api.spotify.com/v1/tracks/5dMHeQAGLqNBNv6zegpmZy,https://api.spotify.com/v1/audio-analysis/5dMHeQAGLqNBNv6zegpmZy,4.0,
clayton,0DgY053iwPDydoRymeGVZX,Int'l Players Anthem (I Choose You),UGK,UGK (Underground Kingz),2006-12-18,41,259040,True,spotify:track:0DgY053iwPDydoRymeGVZX,Unknown,dirty south rap,0.675,0.68,4.0,-5.01,0.0,0.256,0.0655,0.0,0.354,0.845,155.698,audio_features,https://api.spotify.com/v1/tracks/0DgY053iwPDydoRymeGVZX,https://api.spotify.com/v1/audio-analysis/0DgY053iwPDydoRymeGVZX,4.0,
clayton,1CaW5AJZpa7UH4UzlmCRh6,LAMPIN',emune,DURT 3,2022-02-22,25,99692,True,spotify:track:1CaW5AJZpa7UH4UzlmCRh6,Unknown,chillhop,0.501,0.76,5.0,-7.877,0.0,0.0732,0.0317,0.381,0.2,0.198,129.216,audio_features,https://api.spotify.com/v1/tracks/1CaW5AJZpa7UH4UzlmCRh6,https://api.spotify.com/v1/audio-analysis/1CaW5AJZpa7UH4UzlmCRh6,4.0,
clayton,78pvAnaKqGuXoAbS8vgSxM,Corrupt,Supertask,Corrupt,2020-06-11,0,240100,True,spotify:track:78pvAnaKqGuXoAbS8vgSxM,Unknown,glitch hop,0.658,0.31,1.0,-17.615,0.0,0.195,0.626,0.786,0.0661,0.0356,100.026,audio_features,https://api.spotify.com/v1/tracks/78pvAnaKqGuXoAbS8vgSxM,https://api.spotify.com/v1/audio-analysis/78pvAnaKqGuXoAbS8vgSxM,4.0,
clayton,6GHf5R3t8dmNid0oPB4yUM,I’m Tight,Louis Cole,Quality Over Opinion,2022-10-14,42,420613,True,spotify:track:6GHf5R3t8dmNid0oPB4yUM,Unknown,la pop,0.818,0.571,11.0,-6.064,0.0,0.0721,0.565,0.394,0.0842,0.737,140.02,audio_features,https://api.spotify.com/v1/tracks/6GHf5R3t8dmNid0oPB4yUM,https://api.spotify.com/v1/audio-analysis/6GHf5R3t8dmNid0oPB4yUM,4.0,
clayton,4EAZKkjcKYdjm2Ms0cL1Mm,Enjoy the Ride,The Jauntee,Enjoy the Ride,2012-12-23,15,383827,False,spotify:track:4EAZKkjcKYdjm2Ms0cL1Mm,Unknown,jam band,0.447,0.678,1.0,-8.847,0.0,0.118,0.0376,0.00473,0.17,0.624,165.61,audio_features,https://api.spotify.com/v1/tracks/4EAZKkjcKYdjm2Ms0cL1Mm,https://api.spotify.com/v1/audio-analysis/4EAZKkjcKYdjm2Ms0cL1Mm,4.0,
clayton,26MpRSBctdGFQConxHTOfF,"Hux (The Warehouse, Fairfield, CT, 1.15.22)",Eggy,Eggy Selects: Winter Tour 2022,2022-05-06,32,93780,False,spotify:track:26MpRSBctdGFQConxHTOfF,Unknown,jam band,0.538,0.52,7.0,-10.135,1.0,0.0384,0.145,0.93,0.2,0.562,147.848,audio_features,https://api.spotify.com/v1/tracks/26MpRSBctdGFQConxHTOfF,https://api.spotify.com/v1/audio-analysis/26MpRSBctdGFQConxHTOfF,3.0,
clayton,1LniMacD2hpFhIvv32KXok,Wake Up (feat. Lucy Rose),Logic,Paradise II (feat. Norah Jones),2023-02-07,43,178182,True,spotify:track:1LniMacD2hpFhIvv32KXok,Unknown,conscious hip hop,0.719,0.861,9.0,-3.245,1.0,0.177,0.0679,0.0,0.185,0.581,131.966,audio_features,https://api.spotify.com/v1/tracks/1LniMacD2hpFhIvv32KXok,https://api.spotify.com/v1/audio-analysis/1LniMacD2hpFhIvv32KXok,4.0,
clayton,1aSnTWmuITpVrXgC428Pns,let it pop,Ryan Celsius Sounds,"Cranbrook Bumps, Vol. Four",2020-08-22,4,118159,False,spotify:track:1aSnTWmuITpVrXgC428Pns,Unknown,phonk,0.701,0.625,4.0,-12.406,1.0,0.0786,0.068,0.00254,0.189,0.117,130.03,audio_features,https://api.spotify.com/v1/tracks/1aSnTWmuITpVrXgC428Pns,https://api.spotify.com/v1/audio-analysis/1aSnTWmuITpVrXgC428Pns,4.0,
