name,artist,album,spotify_id,duration_ms
The Impression That I Get,The Mighty Mighty Bosstones,Let's Face It,1ru5R5iSawvuMELqKXxLjS,194760
Don't Let the Bastards Grind You Down,The Toasters,The Toasters: 30th Anniversary,0XlPgrltmThUXK0hoClUfM,170800
Come on Eileen,Save Ferris,It Means Everything,4Z4xFENnvMnRDPpAx5wpaO,249133
Take On Me,Reel Big Fish,The Best Of Us For The Rest Of Us,7IfckgnBsIdP4XE4tfWEDN,199253
She's Kerosene,The Interrupters,Fight the Good Fight,60FJeNTK5edr72G2xtCWuP,170453
Dark Necessities,Red Hot Chili Peppers,The Getaway,2oaK4JLVnmRGIO9ytBE1bt,302000
Go Robot,Red Hot Chili Peppers,The Getaway,5m578MgxuEC956dulprCe8,263800
Aeroplane,Red Hot Chili Peppers,One Hot Minute (Deluxe Edition),0VLdJcQUsqHBBwqPp4CIKJ,285066
Hump de Bump,Red Hot Chili Peppers,Stadium Arcadium,5f2ZVFERwwh3asebmurZEf,213093
Suck My Kiss,Red Hot Chili Peppers,Blood Sugar Sex Magik (Deluxe Edition),0psB5QzGb4653K0uaPgEyh,217133
Trip Switch,Nothing But Thieves,Nothing But Thieves (Track by Track),13QI6bq0U8HMK7gUpAwFBK,181146
Otherside,Red Hot Chili Peppers,Californication (Deluxe Edition),64BbK9SFKH2jk86U3dGj2P,255373
Californication,Red Hot Chili Peppers,Californication (Deluxe Edition),48UPSzbZjgc449aqz8bxox,329733
Snow (Hey Oh),Red Hot Chili Peppers,Stadium Arcadium,2aibwv5hGXSgw7Yru8IYTO,334666
Dani California,Red Hot Chili Peppers,Stadium Arcadium,10Nmj3JCNoMeBQ87uw5j8k,282160
Basket Case,Green Day,Dookie,6L89mwZXSOwYl76YXfX13s,181533
Somebody Told Me,The Killers,Hot Fuss,6PwjJ58I4t7Mae9xfZ9l9v,197200
When You Were Young,The Killers,Sam's Town,70wYA8oYHoMzhRRkARoMhU,220426
Mr. Brightside,The Killers,Hot Fuss,003vvx7Niy0yvhvHt4a68B,222973
Smile Like You Mean It,The Killers,Hot Fuss,3KANrKOFYyAxfjQJHkgBdb,234106
Take Me Out,Franz Ferdinand,Franz Ferdinand,20I8RduZC2PWMWTDCZuuAN,237026
Are You Gonna Be My Girl,Jet,Get Born,305WCRhhS10XUcH6AEwZk6,213800
No You Girls,Franz Ferdinand,Tonight,4VP8QiCeaZq8BeTIUrMQOG,223786
Here It Goes Again,OK Go,Oh No,1pHP4JeQV9wDx87D6qH9hD,179813
Tell Me Baby,Red Hot Chili Peppers,Stadium Arcadium,0itNMuBHye9fu392b4e9oa,247666
Song 2 - 2012 Remaster,Blur,Blur (Special Edition),1FTSo4v6BOZH9QxKc3MbVM,121160
Seven Nation Army,The White Stripes,Elephant,3dPQuX8Gs42Y7b454ybpMR,232106
Pretty Fly (For A White Guy),The Offspring,Americana,3SFXsFpeGmBTtQvKiwYMDA,188666
Feel Good Inc.,Gorillaz,Demon Days,0d28khcov6AiegSCpG5TuT,222640
Clint Eastwood,Gorillaz,Gorillaz,7yMiX7n9SBvadzox8T5jzT,340920
Scar Tissue,Red Hot Chili Peppers,Californication (Deluxe Edition),1G391cbiT3v3Cywg8T7DM1,215906
Obsession,OK Go,Hungry Ghosts,4wOMCd0BNGbafudqSZ70it,188057
Upside Down & Inside Out,OK Go,Hungry Ghosts,31hqP5oGX2M2z4ayh97jHl,187866
White Knuckles,OK Go,Of the Blue Colour of the Sky,5cYJ1vLxc9zhcGvAPWm2ff,198520
