Title,Runtime,Artist,Album,Genre,spotify_id
82588,1:57,The Dillinger Escape Plan,Ire Works,Metal,3tS9boNFoElRhCXG1ceCYR
5805,3:39,The Classic Crime,The Silver Cord,Rock,516MV6DEvyukH63TqQxvR9
1100 Days,4:42,Sianvar,Stay Lost,Rock,330MVON0chfPqMXiprudw0
111 Winchester,4:35,I the Mighty,Where the Mind Wants to Go / Where You Let It Go,Alternative,6IyH0EaJuz7hUuiDGQyczM
100 Suns,1:58,30 Seconds To Mars,This Is War,Alt. Rock,
87,4:47,Polyphia,Muse,Rock,4gzm4EjDYFJYDr2YqZNAZa
72 Virgins (feat. Big Body Bes),2:50,Action Bronson,SAAAB STORIES Produced by Harry Fraud - EP,Hip-Hop/Rap,0Z1L5NTrPWAvH2ykIkxSVv
"The 59th Street Bridge Song (Feelin' Groovy) [Live at Carnegie Hall, New York, NY - July 1970]",1:50,Simon & Garfunkel,Greatest Hits,Pop,44fnvfSbCXm5KYmqOqbKbd
The 59th Street Bridge Song (Feelin' Groovy),1:47,Simon & Garfunkel,"Parsley, Sage, Rosemary and Thyme",Pop,0dzbfio3qTYG9uk40SJNcr
The 59th Street Bridge (Feelin' Groovy) [live],1:51,Simon & Garfunkel,,,44fnvfSbCXm5KYmqOqbKbd
The 59th Street Bridge (Feelin' Groovy) [live],1:51,Simon & Garfunkel,Greatest Hits,,44fnvfSbCXm5KYmqOqbKbd
41 Mojitos Poolside Dub,6:19,Tame Impala,InnerSpeaker B-Sides & Remixes - EP,Alternative,40ppiA4zkitHegsv6A4Lhn
40Oz,3:54,Polyphia,The Most Hated - EP,Alternative,3v3VFa7Dt32gNR27jfw7DG
40's,3:50,Julian Lage,World's Fair,Jazz,
"24 Preludes, Op. 28: Prelude No. 24 in D Minor",2:30,Irina Zaritzkaya,50 of the Best: Chopin,Classical,53xOLu71vyKXgx7VQiV7S5
"24 Preludes, Op. 28: Prelude No. 15 in D-Flat Major",6:39,Irina Zaritzkaya,50 of the Best: Chopin,Classical,
"24 Preludes, Op. 28: Prelude No. 7 in A Major",0:52,Irina Zaritzkaya,50 of the Best: Chopin,Classical,
"24 Preludes, Op. 28: Prelude No. 5 in D Major",0:41,Irina Zaritzkaya,50 of the Best: Chopin,Classical,
"24 Preludes, Op. 28: Prelude No. 4 in E Minor, Op. 28, No. 4",2:12,Irina Zaritzkaya,50 of the Best: Chopin,Classical,
"24 Preludes, Op. 28: Prelude No. 3 in G Major",1:01,Irina Zaritzkaya,50 of the Best: Chopin,Classical,
22 Minutes,0:28,Andrew Prahlow,Outer Wilds (Original Soundtrack),Soundtrack,3gTTHPlp5wPZpDjc2gEbzI
20 Years,3:02,The Civil Wars,Barton Hollow,Singer/Songwriter,04WE0HmjYipIMvNARHWpTk
14.3 Billion Years,5:20,Andrew Prahlow,Outer Wilds (Original Soundtrack),Soundtrack,6Pk74EH6WUornCtIoP12jE
12 Fractures (feat. chloe moriondo),3:02,Pierce the Veil,The Jaws of Life,Alternative,
"12 Etudes, Op. 25: Etude No. 21 in G-Flat Major, Op. 25, No. 9, ""Butterfly's Wings""",1:04,Istvan Szekely,50 of the Best: Chopin,Classical,
"12 Etudes, Op. 10: Etude No. 12 in C Minor ""Revolutionary""",2:28,Istvan Szekely,50 of the Best: Chopin,Classical,7b8tvHoNgFrUw2kOaGX1dq
"12 Etudes, Op. 10: Etude No. 6 in E-Flat Minor",4:14,Istvan Szekely,50 of the Best: Chopin,Classical,
"12 Etudes, Op. 10: Etude No. 5 in G-Flat Major ""Black Keys""",1:49,Istvan Szekely,50 of the Best: Chopin,Classical,
"12 Etudes, Op. 10: Etude No. 3 in E Major",3:59,Istvan Szekely,50 of the Best: Chopin,Classical,
10 Is What They Rate Me,4:17,Riff Raff,The Golden Alien,Hip-Hop/Rap,6t9UeC5gSUL3b9mXLE4nih
